lad_code,n,mean,rooms
E06000036,20,759,Studio
E06000043,130,788,Studio
E06000060,60,646,Studio
E06000046,40,455,Studio
E06000035,60,654,Studio
E06000042,60,739,Studio
E06000044,80,614,Studio
E06000038,140,684,Studio
E06000039,70,709,Studio
E06000045,170,647,Studio
E06000037,40,653,Studio
E06000040,40,746,Studio
E06000041,30,636,Studio
E07000061,30,580,Studio
E07000062,40,472,Studio
E07000063,20,718,Studio
E07000064,20,549,Studio
E07000084,60,638,Studio
E07000085,10,594,Studio
E07000086,20,534,Studio
E07000087,10,621,Studio
E07000088,30,597,Studio
E07000089,10,692,Studio
E07000090,10,579,Studio
E07000091,50,572,Studio
E07000092,20,680,Studio
E07000093,10,650,Studio
E07000094,20,678,Studio
E07000105,10,616,Studio
E07000106,20,711,Studio
E07000107,30,735,Studio
E07000108,30,498,Studio
E07000112,40,451,Studio
E07000109,30,642,Studio
E07000110,100,634,Studio
E07000111,10,701,Studio
E07000113,10,603,Studio
E07000114,20,584,Studio
E07000115,10,724,Studio
E07000116,40,689,Studio
E07000177,30,665,Studio
E07000178,50,831,Studio
E07000179,10,675,Studio
E07000180,10,766,Studio
E07000181,10,650,Studio
E07000207,10,847,Studio
E07000208,10,851,Studio
E07000209,20,807,Studio
E07000210,40,777,Studio
E07000211,20,756,Studio
E07000212,20,748,Studio
E07000213,10,873,Studio
E07000215,10,754,Studio
E07000216,10,750,Studio
E07000217,60,863,Studio
E07000223,10,734,Studio
E07000224,20,608,Studio
E07000225,10,624,Studio
E07000226,20,761,Studio
E07000227,50,706,Studio
E07000229,50,666,Studio
E06000022,120,790,Studio
E06000058,310,588,Studio
E06000023,190,821,Studio
E06000052,140,528,Studio
E06000059,40,474,Studio
E06000024,30,524,Studio
E06000026,180,483,Studio
E06000025,10,704,Studio
E06000030,60,570,Studio
E06000027,50,454,Studio
E06000054,40,553,Studio
E07000040,20,491,Studio
E07000041,30,650,Studio
E07000042,10,471,Studio
E07000043,30,441,Studio
E07000045,20,512,Studio
E07000046,10,427,Studio
E07000047,10,380,Studio
E07000078,10,554,Studio
E07000081,10,500,Studio
E07000082,10,502,Studio
E07000083,10,483,Studio
E07000187,20,473,Studio
E07000188,30,521,Studio
E07000246,60,495,Studio
E07000189,60,448,Studio
E06000047,240,423,One
E06000005,260,405,One
E06000001,60,398,One
E06000002,70,447,One
E06000057,190,423,One
E06000003,100,429,One
E06000004,120,457,One
E08000037,110,511,One
E08000021,270,667,One
E08000022,150,478,One
E08000023,40,419,One
E08000024,140,454,One
E06000008,130,455,One
E06000009,370,419,One
E06000049,420,597,One
E06000050,330,613,One
E06000006,120,451,One
E06000007,360,543,One
E07000026,130,415,One
E07000027,70,484,One
E07000028,180,409,One
E07000029,130,458,One
E07000030,60,491,One
E07000031,220,569,One
E08000001,150,531,One
E08000002,90,538,One
E08000003,1330,820,One
E08000004,60,544,One
E08000005,80,461,One
E08000006,390,769,One
E08000007,280,649,One
E08000008,100,544,One
E08000009,210,737,One
E08000010,280,441,One
E07000117,50,426,One
E07000118,80,506,One
E07000119,190,481,One
E07000120,70,408,One
E07000121,270,509,One
E07000122,80,452,One
E07000123,220,491,One
E07000124,80,503,One
E07000125,50,474,One
E07000126,70,463,One
